wo_id,remark
EBA-2500402,COVER SILVER BUMPER BELAKANG - K/D/C/P
EBA-2500403,*SESUAI MERIMEN
EBA-2500405,*SESUAI MERIMEN
EBA-2500406,*SESUAI MERIMEN
EBA-2500407,*SESUAI MERIMEN
EBA-2500408,*SESUAI MERIMEN
EBA-2500409,*SESUAI MERIMEN
EBA-2500410,*SESUAI MERIMEN
EBA-2500411,*SESUAI MERIMEN
EBA-2500412,*SESUAI MERIMEN
EBA-2500417,COVER BUMPER FR - D/C/P
EBA-2500418,*SESUAI MERIMEN
EBA-2500419,*SESUAI MERIMEN
EBA-2500422,*SESUAI MERIMEN
EBA-2500425,GRILLE RADIATOR - K/D/C/P
EBA-2500426,AEROKIT BUMPER DEPAN - K/D/C/P
EBA-2500429,*SESUAI MERIMEN
EBA-2500431,*SESUAI MERIMEN
EBA-2500433,PESAN PART
EBA-2500435,PESAN PART
EBA-2500437,-
EBA-2500438,*SESUAI MERIMEN
EBA-2500445,2. COVER BUMPER FR	- K/D/C/P
EBA-2500445,1. BUMPER FR		- G/D/C/P
EBA-2500446,"5. GANTI COVER,DOOR MIRROR,OTR RH	- BP/G"
EBA-2500446,2. PINTU BELAKANG KANAN - K/D/C/P
EBA-2500446,1. PINTU DEPAN KANAN - K/D/C/P
EBA-2500446,7. BUMPER DEPAN - G/D/C/P
EBA-2500446,"4. GANTI MIRROR ASSY,DOOR,RH - BP/G"
EBA-2500446,"11. GANTI COVER,ENG ROOM UNDER,FR	 - BP/G"
EBA-2500446,9. SUPPORT HEADLAMP - K/D/C/P
EBA-2500446,"6. GANTI MLDG,FR DOOR WINDOW BELT LINE,RH	- BP/G"
EBA-2500446,3. PANEL QUARTER RR RH - K/D/C/P
EBA-2500446,"10. GANTI SHIELD,FR WHEELHOUSE SPLASH,LH - BP/G"
EBA-2500446,8. COVER BUMPER DEPAN - K/D/C/P
EBA-2500447,3. GARNISH PINTU BAGASI		- K/D/C/P
EBA-2500447,5. GANTI COVER BUMPER RR	- BP/G
EBA-2500447,2. PINTU BAGASI			- K/D/C/P
EBA-2500447,4. BUMPER RR			- G/D/C/P
EBA-2500447,1. SEBENG BAWAH MESIN		- K/D/C/P
EBA-2500448,8. DOOR RR RH				- K/D/C/P
EBA-2500448,5. DOOR RR LH				- K/D/C/P
EBA-2500448,2. GANTI LIST HITAM TANGGA KIRI		- BP/G
EBA-2500448,7. PANEL QUARTER RR RH			- K/D/C/P
EBA-2500448,4. PANEL QUARTER RR LH			- K/D/C/P
EBA-2500448,1. GANTI LIST HITAM TANGGA KANAN		- BP/G
EBA-2500448,9. SIDE SILL RH				- K/D/C/P
EBA-2500448,6. SIDE SILL LH				- K/D/C/P
EBA-2500448,3. CAT TUTUP TANGKI			- K/D/C/P
EBA-2500452,1. BUMPER BELAKANG - K/D/C/P
EBA-2500452,"3. GANTI MOULDING,RR WHEEL ARCH,RH - BP/G"
EBA-2500452,2. PANEL QUARTER RR RH - K/D/C/P
EBA-2500453,3. PANEL QUARTER RR RH  -  G/D/C/P
EBA-2500453,2. BUMPER RR  -  G/D/C/P
